127.0.0.1 - - [04/Apr/2017:17:08:15 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:08:35 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:08:35 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:11 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:11 -0300] "GET /Grupo4/carteleras/2 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:12 -0300] "GET /Grupo4/carteleras/3 HTTP/1.1" 200 529
127.0.0.1 - - [04/Apr/2017:17:11:14 -0300] "GET /Grupo4/carteleras/4 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:14 -0300] "GET /Grupo4/carteleras/5 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:14 -0300] "GET /Grupo4/carteleras/6 HTTP/1.1" 200 353
127.0.0.1 - - [04/Apr/2017:17:11:15 -0300] "GET /Grupo4/carteleras/7 HTTP/1.1" 200 274
127.0.0.1 - - [04/Apr/2017:17:11:15 -0300] "GET /Grupo4/carteleras/8 HTTP/1.1" 200 174
127.0.0.1 - - [04/Apr/2017:17:11:15 -0300] "GET /Grupo4/carteleras/9 HTTP/1.1" 200 109
127.0.0.1 - - [04/Apr/2017:17:11:17 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:17 -0300] "GET /Grupo4/publicaciones HTTP/1.1" 200 4079
127.0.0.1 - - [04/Apr/2017:17:11:17 -0300] "GET /Grupo4/publicaciones HTTP/1.1" 200 4079
127.0.0.1 - - [04/Apr/2017:17:11:18 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:18 -0300] "GET /Grupo4/carteleras/2 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:11:19 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
